prices.amountMax,prices.amountMin,Disponibilidad,Estado,prices.isSale,Tienda Precio,Envios,Categoria Principal,secondary category
699.99,699.99,In Stock,New,1,bestbuy,Free Standard Shipping,TV and accessories,TV
119.99,119.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Discos duros
149.99,149.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Discos duros
149.99,149.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Computer and accessories,Discos duros
22.18,17.99,In Stock,New,1,walmart,Free Expedited Shipping,Audio and accessories,Audio and accessories
24.99,24.99,In Stock,New,0,walmart,Free Expedited Shipping,Audio and accessories,Audio and accessories
17.99,15.94,In Stock,New,1,walmart,Free Expedited Shipping,Audio and accessories,Audio and accessories
16.99,16.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Audio and accessories,Audio and accessories
22.16,22.16,In Stock,New,0,walmart,Free Expedited Shipping,Audio and accessories,Audio and accessories
22.2,14.99,In Stock,New,1,walmart,Free Expedited Shipping,Audio and accessories,Audio and accessories
22.22,16.79,In Stock,New,1,walmart,Free Standard Shipping,Audio and accessories,Audio and accessories
24.99,24.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Audio and accessories,Audio and accessories
22.99,22.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Audio and accessories,Audio and accessories
16.99,16.99,In Stock,New,0,walmart,Free Expedited Shipping,Audio and accessories,Audio and accessories
17.79,16.46,Out of Stock,New,1,walmart,Free Expedited Shipping,Audio and accessories,Audio and accessories
24.99,24.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Audio and accessories,Audio and accessories
36.94,36.94,In Stock,New,0,walmart,Paid Shipping,Audio and accessories,Audio and accessories
28.99,28.99,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio and accessories
